experiment_group,city,device_type,user_segment,sessions,bookings,session_to_restaurant_view_rate,restaurant_view_to_cart_rate,cart_to_checkout_rate,checkout_to_booking_rate,session_to_booking_rate,avg_order_value
control,Bangalore,Android,high_value_user,671,141.0,76.6,51.95,72.28,73.06,21.01,424.06
treatment,Bangalore,Android,high_value_user,659,162.0,79.97,59.01,67.85,76.78,24.58,404.67
control,Bangalore,Android,new_user,1554,181.0,67.7,43.63,56.64,69.62,11.65,421.72
treatment,Bangalore,Android,new_user,1510,166.0,69.87,44.93,57.17,61.25,10.99,410.71
control,Bangalore,Android,returning_user,2163,350.0,73.0,47.75,63.93,72.61,16.18,416.17
treatment,Bangalore,Android,returning_user,2203,376.0,73.85,50.71,63.64,71.62,17.07,405.43
control,Bangalore,Web,high_value_user,116,24.0,70.69,56.1,63.04,82.76,20.69,388.72
treatment,Bangalore,Web,high_value_user,108,27.0,75.0,55.56,82.22,72.97,25.0,407.43
control,Bangalore,Web,new_user,271,24.0,57.93,40.76,57.81,64.86,8.86,414.16
treatment,Bangalore,Web,new_user,271,36.0,73.43,47.24,59.57,64.29,13.28,391.45
control,Bangalore,Web,returning_user,331,53.0,67.67,49.11,61.82,77.94,16.01,405.98
treatment,Bangalore,Web,returning_user,399,71.0,69.42,51.26,62.68,79.78,17.79,386.96
control,Bangalore,iOS,high_value_user,323,94.0,79.57,58.75,77.48,80.34,29.1,399.5
treatment,Bangalore,iOS,high_value_user,288,79.0,85.76,56.28,73.38,77.45,27.43,412.84
control,Bangalore,iOS,new_user,658,69.0,69.6,47.6,50.0,63.3,10.49,392.79
treatment,Bangalore,iOS,new_user,674,84.0,74.33,46.11,57.58,63.16,12.46,428.38
control,Bangalore,iOS,returning_user,975,150.0,72.41,50.28,58.87,71.77,15.38,423.01
treatment,Bangalore,iOS,returning_user,993,167.0,76.64,45.6,68.01,70.76,16.82,402.85
control,Delhi,Android,high_value_user,477,87.0,76.52,57.53,62.86,65.91,18.24,401.73
treatment,Delhi,Android,high_value_user,524,124.0,80.92,55.19,67.95,77.99,23.66,399.72
control,Delhi,Android,new_user,1143,129.0,65.09,45.3,61.72,62.02,11.29,422.58
treatment,Delhi,Android,new_user,1223,144.0,69.09,46.27,57.29,64.29,11.77,410.36
control,Delhi,Android,returning_user,1680,262.0,71.9,46.69,63.12,73.6,15.6,411.68
treatment,Delhi,Android,returning_user,1708,251.0,73.71,46.31,62.26,69.15,14.7,415.25
control,Delhi,Web,high_value_user,69,14.0,79.71,50.91,64.29,77.78,20.29,489.01
treatment,Delhi,Web,high_value_user,86,17.0,76.74,66.67,70.45,54.84,19.77,415.51
control,Delhi,Web,new_user,171,21.0,64.91,47.75,60.38,65.63,12.28,421.89
treatment,Delhi,Web,new_user,174,24.0,68.97,43.33,65.38,70.59,13.79,409.9
control,Delhi,Web,returning_user,252,30.0,64.68,41.72,57.35,76.92,11.9,442.65
treatment,Delhi,Web,returning_user,279,50.0,71.33,53.27,62.26,75.76,17.92,414.57
control,Delhi,iOS,high_value_user,247,53.0,84.62,47.37,68.69,77.94,21.46,418.53
treatment,Delhi,iOS,high_value_user,214,51.0,82.71,55.93,67.68,76.12,23.83,408.39
control,Delhi,iOS,new_user,555,55.0,67.57,42.13,57.59,60.44,9.91,428.96
treatment,Delhi,iOS,new_user,551,78.0,71.87,48.99,59.79,67.24,14.16,426.36
control,Delhi,iOS,returning_user,749,109.0,72.76,45.87,63.6,68.55,14.55,429.41
